index,exclude_genes,E_pop,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection
LOC728558,True,4.062950777014977,False,0.7337924622116916,-0.3667027058248977,-2.4047186,0,False
COPS4,True,6.075045781727373,False,0.6666162932611314,1.396878859689152,0.8823394,0,False
KIAA1324,True,4.214360306364306,False,0.6508048561006985,0.04784884404406736,-1.6274394,0,False
TIMM22,True,5.15317591695363,False,0.4534327126268501,1.4124661655681674,0.904991,0,False
BIRC7,True,5.885038523511478,False,0.48119243602849276,1.4414127928441842,0.9244154,0,False
TOMM34,True,5.375530297904918,False,0.4933611115845341,1.3526479482167983,0.76830333,0,False
CNOT1,True,5.535161650986888,False,0.790603658734294,0.8992769862956771,-0.006499776,0,False
EXOC2,True,5.008411357700056,False,0.552389456296766,1.1605132145289074,0.4554309,0,False
SAMM50,True,6.217965823957708,False,0.7600817506877671,1.2883381742101747,0.7071368,0,False
MRPL34,True,6.273815412347669,False,0.8108510541608096,1.26094045077159,0.6592345,0,False
HSF2,True,4.348367667950181,False,0.3078927656123909,1.332172893992278,0.75551486,0,False
CDC42EP3,True,4.792762051760339,False,0.5158155463078127,1.0983714842671013,0.31296745,0,False
TSPAN7,True,4.832729864347673,False,0.26105314935922425,1.397266981603316,0.82658976,0,False
MFN2,True,4.452345889581607,False,0.45141657578299554,1.0697206155404144,0.23388755,0,False
RHOH,True,7.4810412417009875,False,1.0507382922147626,1.487962987593177,1.1274312,0,False
NUCB1,True,6.2772782811067085,False,0.9603655496047849,0.9089014492502826,0.029769335,0,False
ARL16,True,5.892249450022373,False,0.8321446748736772,0.8595156144791387,-0.11548554,0,False
TLCD2,True,4.929141437555009,False,0.9631422267436638,-0.4463516010534156,-2.5659564,0,False
FAM204A,True,4.607403503380696,False,0.5507567610406766,0.9585379034713581,0.060348418,0,False
DAPP1,True,4.784035002008302,False,0.49196937917736455,1.0913262226550149,0.36272883,0,False
ATF7,True,5.196086188004725,False,0.5817783624051309,1.1632943073145907,0.43176648,0,False
DNAJA3,True,5.715033098191646,False,0.6245828636675663,1.3048128836564667,0.71421474,0,False
CIITA,True,5.135739292242863,False,0.6005489747124099,1.1668840248940477,0.46558818,0,False
CMTM3,True,4.894509960932507,False,0.5442366225822286,1.1614277582159636,0.4342848,0,False
MRPL15,True,5.815474422926526,False,0.6640994654597319,1.1635462721918373,0.42746496,0,False
C21orf59,True,6.121908939890931,False,0.7130734701927,1.3668467091847987,0.8340408,0,False
UBE2L6,True,8.622341971300077,False,1.3811434910931333,1.2537859668240126,0.804678,0,False
HP1BP3,True,6.296960731718321,False,1.0968466304893225,0.28252391585052333,-1.384658,0,False
XPC,True,5.044737494734084,False,0.5559981909398468,1.1592687857575232,0.41566318,0,False
KLHL7,True,4.9590287999407705,False,0.41842021633428605,1.4096658509511284,0.87338275,0,False
NOP58,True,6.9957583954272815,False,1.1070311531109966,1.0298119956979894,0.17370263,0,False
STAT5A,True,4.798547286332197,False,0.45805962136811107,1.2704259237076168,0.6555918,0,False
PTPN2,True,6.664254139544696,False,1.0628964116016288,0.6985743214566595,-0.37077123,0,False
SF3A3,True,6.4492104043042895,False,0.8712471822306895,1.1814676835299183,0.50666636,0,False
HCFC1,True,4.499158147098584,False,0.6258193722607,0.7411974023542323,-0.37574023,0,False
AHNAK,True,6.470509082624348,False,1.0341022484172964,0.7944042567016205,-0.18923405,0,False
YIPF2,True,4.0950116403575505,False,0.3020313963628797,1.2132196026918491,0.46402207,0,False
MYEOV2,True,6.515845498851054,False,0.807989010258216,1.4102999884997542,0.9182663,0,False
DUSP18,True,4.427107370669446,False,0.3064449254873315,1.3824006713098687,0.83679795,0,False
AHR,True,4.226966247224861,False,0.5297826416067045,0.328371345900956,-1.1120181,0,False
ATP6V1C1,True,4.604702625503282,False,0.5516968482764852,0.845082080266608,-0.19675684,0,False
LUZP6,True,4.866746812068906,False,0.7075224795653065,0.7713759840198984,-0.29609454,0,False
COQ10B,True,6.35620202224596,False,0.9498091478678858,0.804082642541728,-0.18133472,0,False
PSMF1,True,6.179053570584876,False,0.9666414524154299,0.9897312980617451,0.1829607,0,False
NFE2L2,True,5.921046606361868,False,0.7333283666771383,1.159138226873381,0.46011034,0,False
SH2D2A,True,5.696123524584783,False,0.676234660020458,1.3012446664096373,0.7564079,0,False
MRPS24,True,7.198632779743733,False,0.9855725307346546,1.3714566103289907,0.89648664,0,False
OPA3,True,4.445098075901484,False,0.7965509452756867,-0.3897010086713529,-2.4018779,0,False
TRAF7,True,4.160657611760876,False,0.4621804286777571,0.8532670637571216,-0.19863664,0,False
HS1BP3,True,4.37515196759755,False,0.34879708886011407,1.2075474595365994,0.47173238,0,False
SFRP2,True,4.826152473417185,True,0.05646753155782426,1.9609379593217673,1.8928598,2,True
C6orf1,True,6.140627740390732,False,0.7158962539135427,1.3427963796623597,0.80654407,0,False
CCT4,True,7.228527833134265,False,1.0953289549082021,1.1589157241674932,0.4514286,0,False
CHMP6,True,5.479328685544101,False,0.5009644441890404,1.389293832306608,0.85716885,0,False
NDUFA13,True,8.760407649302344,False,1.4907670173505516,1.103001743449688,0.5288722,0,False
CD151,True,4.503835938004,False,0.4175408647168459,0.82197286684906,-0.20838273,0,False
ARFRP1,True,5.418236247841824,False,0.6135950708637697,1.2587238266306455,0.6329402,0,False
MRPL41,True,6.214658900338341,False,0.7565542219114194,1.2623437232319235,0.6579661,0,False
SCAMP3,True,6.858170541303214,False,0.9622792907860804,1.2114574396633877,0.61306816,0,False
MTMR6,True,4.059494014412794,False,0.31388702148516334,1.1506695069444421,0.38760915,0,False
