"cells","samples","cell.types","treatment.group","Cohort","no.of.genes","no.of.reads"
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H05_S569_comb","Mel79","B.cell","treatment.naive","Tirosh",3063,38713
"cy72_CD45_pos_E01_S913_comb","Mel72","T.cell","post.treatment","Tirosh",3239,92575
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A09_S969_comb","Mel60","B.cell","post.treatment","Tirosh",3595,39564
"CY89A_Core_15_B01_S13_comb","Mel89","B.cell","treatment.naive","Tirosh",2687,65057
"cy60_1_cd_45_pos_3_E01_S337_comb","Mel60","B.cell","post.treatment","Tirosh",2785,69218
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C11_S995_comb","Mel60","B.cell","post.treatment","Tirosh",2920,59159
"CY89FNA_E08_S248_comb","Mel89","B.cell","treatment.naive","Tirosh",3762,226553
"cy88_cd45pos_5_C05_S221_comb","Mel88","Macrophage","post.treatment","Tirosh",7648,3241860
"CY94CD45POS_1_F10_S166_comb","Mel94","B.cell","post.treatment","Tirosh",5435,291570
"cy60_1_cd_45_pos_3_E12_S348_comb","Mel60","B.cell","post.treatment","Tirosh",3027,35058
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C01_S985_comb","Mel60","B.cell","post.treatment","Tirosh",2674,62622
"cy88_cd_45_pos_3_F01_S637_comb","Mel88","Macrophage","post.treatment","Tirosh",4761,216421
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_F05_S545_comb","Mel79","Macrophage","treatment.naive","Tirosh",2634,16658
"cy80_Cd45_pos_PD1_pos_D12_S96_comb","Mel80","B.cell","treatment.naive","Tirosh",4978,72184
"cy60_1_cd_45_pos_3_A04_S292_comb","Mel60","B.cell","post.treatment","Tirosh",2679,60741
"cy82_CD45_neg_2_B02_S206_comb","Mel82","Mal","treatment.naive","Tirosh",11993,611216
"cy80_CD45_neg_B11_S887_comb","Mel80","?","treatment.naive","Tirosh",3081,53991
"cy80_Cd45_pos_Pd1_neg_S294_E06_S294_comb","Mel80","B.cell","treatment.naive","Tirosh",4438,115594
"cy72_CD45_pos_G03_S939_comb","Mel72","NK","post.treatment","Tirosh",4313,154884
"cy72_CD45_pos_F08_S932_comb","Mel72","B.cell","post.treatment","Tirosh",3280,64937
"CY94CD45POS_1_H09_S189_comb","Mel94","T.CD4","post.treatment","Tirosh",6994,277050
"cy53_1_CD45_neg_A03_S291_comb","Mel53","CAF","treatment.naive","Tirosh",5552,720730
"CY89A_Core_15_A09_S9_comb","Mel89","B.cell","treatment.naive","Tirosh",2865,54585
"cy78_CD45_neg_2_C08_S608_comb","Mel78","Mal","post.treatment","Tirosh",4821,123488
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F09_S1029_comb","Mel60","B.cell","post.treatment","Tirosh",5072,175326
"CY88_5_F07_S739_comb","Mel88","?","post.treatment","Tirosh",3221,36993
"cy94_cd45neg_cd90pos_C10_S322_comb","Mel94","CAF","post.treatment","Tirosh",3587,77718
"cy94_cd45pos_C12_S132_comb","Mel94","B.cell","post.treatment","Tirosh",6382,927560
"cy80_Cd45_pos_Pd1_neg_S228_B12_S228_comb","Mel80","NK","treatment.naive","Tirosh",3623,70749
"CY88CD45POS_2_A06_S390_comb","Mel88","Macrophage","post.treatment","Tirosh",2423,45212
"cy88_cd_45_pos_C01_S409_comb","Mel88","Macrophage","post.treatment","Tirosh",5555,204143
"cy53_1_CD45_neg_E02_S338_comb","Mel53","Endo.","treatment.naive","Tirosh",4511,27932
"cy94_cd45neg_cd90pos_G04_S364_comb","Mel94","Endo.","post.treatment","Tirosh",6074,244526
"Cy80_II_CD45_G05_S941_comb","Mel80","?","treatment.naive","Tirosh",3834,97060
"cy94_cd45pos_4_C10_S34_comb","Mel94","T.CD4","post.treatment","Tirosh",3312,211177
"CY84_PRIM_POS_ALL_7_D02_S230_comb","Mel84","?","treatment.naive","Tirosh",3223,208932
"Cy72_CD45_H07_S763_comb","Mel72","?","post.treatment","Tirosh",4498,383701
"cy80_CD_90_pos_E04_S916_comb","Mel80","CAF","treatment.naive","Tirosh",9578,206118
"cy80_Cd45_pos_Pd1_neg_S370_H10_S370_comb","Mel80","B.cell","treatment.naive","Tirosh",4523,114415
"cy79_p4_CD45_neg_PDL1_neg_G08_S1136_comb","Mel79","Mal","treatment.naive","Tirosh",3631,116332
"CY89A_Core_15_F03_S63_comb","Mel89","?","treatment.naive","Tirosh",2797,41774
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C06_S990_comb","Mel60","B.cell","post.treatment","Tirosh",2381,40228
"CY88CD45POS_7_F09_S261_comb","Mel88","Macrophage","post.treatment","Tirosh",3767,141452
"CY88CD45_150813_D11_S335_comb","Mel88","Macrophage","post.treatment","Tirosh",6070,1223427
"cy60_1_cd_45_pos_4_D01_S37_comb","Mel60","B.cell","post.treatment","Tirosh",3511,88413
"cy94_cd45pos_F05_S161_comb","Mel94","B.cell","post.treatment","Tirosh",4502,222904
"cy60_1_cd_45_pos_3_A03_S291_comb","Mel60","NK","post.treatment","Tirosh",2482,41619
"cy82_CD45_neg_1_B09_S213_comb","Mel82","CAF","treatment.naive","Tirosh",7004,198616
"Cy81_Bulk_CD45_D09_S141_comb","Mel81","?","treatment.naive","Tirosh",12845,323404
"CY88CD45_150813_H07_S379_comb","Mel88","Macrophage","post.treatment","Tirosh",5429,1223442
"cy80_CD45_neg_G07_S943_comb","Mel80","Endo.","treatment.naive","Tirosh",3087,25652
"cy78_CD45_neg_3_D02_S710_comb","Mel78","Mal","post.treatment","Tirosh",5613,227119
"cy60_1_cd_45_neg_3_H07_S571_comb","Mel60","Mal","post.treatment","Tirosh",2144,72023
"cy60_1_cd_45_pos_3_B01_S301_comb","Mel60","NK","post.treatment","Tirosh",2981,103161
"cy72_CD45_pos_A11_S875_comb","Mel72","B.cell","post.treatment","Tirosh",3254,46210
"CY89COREQ1_H03_S375_comb","Mel89","B.cell","treatment.naive","Tirosh",2958,59355
"cy80_CD45_pos_PD1_pos_B10_S118_comb","Mel80","B.cell","treatment.naive","Tirosh",4470,61093
"cy80_CD45_neg_D12_S912_comb","Mel80","CAF","treatment.naive","Tirosh",5986,87664
"CY94CD45POS_1_D05_S137_comb","Mel94","T.CD4","post.treatment","Tirosh",4236,274063
"cy60_1_cd_45_pos_3_A09_S297_comb","Mel60","B.cell","post.treatment","Tirosh",5008,55678
"cy74_CD45_pos_D03_S711_comb","Mel74","B.cell","post.treatment","Tirosh",3087,72607
"CY88CD45POS_7_C03_S219_comb","Mel88","B.cell","post.treatment","Tirosh",4974,245250
"CY94CD45POS_1_F11_S167_comb","Mel94","B.cell","post.treatment","Tirosh",3555,75904
"cy94_cd45neg_cd90pos_H04_S376_comb","Mel94","Endo.","post.treatment","Tirosh",3401,63448
"cy79_p3_CD45_pos_PD1_neg_G01_S169_comb","Mel79","B.cell","treatment.naive","Tirosh",3852,220332
"CY94CD45POS_1_A12_S108_comb","Mel94","B.cell","post.treatment","Tirosh",2392,48925
"CY84_PRIM_POS_ALL_7_H09_S285_comb","Mel84","Macrophage","treatment.naive","Tirosh",4109,498803
"cy94_cd45neg_cd90pos_H12_S384_comb","Mel94","?","post.treatment","Tirosh",8305,1309180
"cy53_1_CD45_pos_1_D01_S37_comb","Mel53","NK","treatment.naive","Tirosh",5211,302521
"cy82_CD45_pos_1_A04_S484_comb","Mel82","B.cell","treatment.naive","Tirosh",3701,111490
"cy60_1_cd_45_pos_4_E10_S58_comb","Mel60","B.cell","post.treatment","Tirosh",3907,118304
"CY89A_CD45_POS_6_H04_S184_comb","Mel89","T.CD8","treatment.naive","Tirosh",2519,33456
"CY84_PRIM_POS_ALL_7_E07_S247_comb","Mel84","NK","treatment.naive","Tirosh",2173,67211
"cy79_p3_CD45_pos_PD1_neg_C02_S122_comb","Mel79","B.cell","treatment.naive","Tirosh",3883,306118
"cy82_CD45_pos_1_G02_S554_comb","Mel82","Macrophage","treatment.naive","Tirosh",5441,437886
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H09_S1053_comb","Mel60","B.cell","post.treatment","Tirosh",3001,75448
"cy94_cd45pos_4_B10_S22_comb","Mel94","B.cell","post.treatment","Tirosh",3508,358312
"cy60_1_cd_45_pos_3_G01_S361_comb","Mel60","NK","post.treatment","Tirosh",3382,153496
"cy53_1_CD45_pos_2_B08_S980_comb","Mel53","NK","treatment.naive","Tirosh",2084,9066
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B12_S504_comb","Mel79","B.cell","treatment.naive","Tirosh",2048,13732
"cy80_CD_90_pos_E09_S921_comb","Mel80","CAF","treatment.naive","Tirosh",8901,230711
"cy88_cd_45_pos_G07_S463_comb","Mel88","Macrophage","post.treatment","Tirosh",4500,74675
"cy80_CD45_pos_PD1_pos_H10_S190_comb","Mel80","B.cell","treatment.naive","Tirosh",2626,31662
"cy79_p3_CD45_pos_PD1_neg_B10_S118_comb","Mel79","B.cell","treatment.naive","Tirosh",2300,39946
"cy53_1_CD45_pos_1_B01_S13_comb","Mel53","NK","treatment.naive","Tirosh",4412,166958
"CY75_1FNA_A08_S488_comb","Mel75","Macrophage","post.treatment","Tirosh",5047,174522
"cy53_1_CD45_pos_1_A05_S5_comb","Mel53","Macrophage","treatment.naive","Tirosh",6227,634542
"Cy74_CD45_E06_S438_comb","Mel74","?","post.treatment","Tirosh",2628,113695
"cy94_cd45neg_cd90pos_E05_S341_comb","Mel94","?","post.treatment","Tirosh",2732,153911
"cy94_cd45pos_4_E04_S52_comb","Mel94","B.cell","post.treatment","Tirosh",8023,770532
"CY89FNAQ2_C11_S419_comb","Mel89","Mal","treatment.naive","Tirosh",8729,112449
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D04_S328_comb","Mel79","Mal","treatment.naive","Tirosh",2906,36601
"Cy72_CD45_A07_S679_comb","Mel72","B.cell","post.treatment","Tirosh",3666,267907
"CY88_5_F08_S740_comb","Mel88","Mal","post.treatment","Tirosh",5195,296689
"cy80_CD_90_pos_D10_S910_comb","Mel80","CAF","treatment.naive","Tirosh",9080,213630
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E06_S534_comb","Mel79","B.cell","treatment.naive","Tirosh",2131,11774
"CY89FNA_E05_S245_comb","Mel89","B.cell","treatment.naive","Tirosh",3016,97539
"CY89A_Core_15_F04_S64_comb","Mel89","B.cell","treatment.naive","Tirosh",2256,32479
"CY89COREQ1_G08_S368_comb","Mel89","Macrophage","treatment.naive","Tirosh",6473,388949
"CY89COREQ1_E05_S341_comb","Mel89","B.cell","treatment.naive","Tirosh",2965,71319
"CY88CD45POS_2_D01_S421_comb","Mel88","Macrophage","post.treatment","Tirosh",6925,1401559
"CY88CD45_150813_H12_S384_comb","Mel88","?","post.treatment","Tirosh",10296,784469
"Cy71_CD45_H05_S569_comb","Mel71","?","treatment.naive","Tirosh",2194,43943
"cy84_Primary_CD45_pos_H08_S476_comb","Mel84","B.cell","treatment.naive","Tirosh",5846,370552
"cy84_Met_CD45_pos_H10_S958_comb","Mel84","B.cell","treatment.naive","Tirosh",2714,61364
"cy84_Primary_CD45_pos_B08_S404_comb","Mel84","NK","treatment.naive","Tirosh",3840,137500
"CY94CD45POS_1_D08_S140_comb","Mel94","B.cell","post.treatment","Tirosh",6255,365588
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G02_S554_comb","Mel79","B.cell","treatment.naive","Tirosh",3263,46108
"cy80_CD45_neg_C06_S894_comb","Mel80","Endo.","treatment.naive","Tirosh",4699,29797
"cy82_CD45_pos_2_D02_S518_comb","Mel82","T.cell","treatment.naive","Tirosh",2552,154582
"Cy71_CD45_H07_S571_comb","Mel71","Mal","treatment.naive","Tirosh",3557,84550
"cy79_p3_CD45_pos_PD1_neg_E09_S153_comb","Mel79","NK","treatment.naive","Tirosh",2331,18863
"CY89A_CD45_POS_6_D06_S138_comb","Mel89","T.cell","treatment.naive","Tirosh",3550,155461
"cy53_1_CD45_neg_C01_S313_comb","Mel53","CAF","treatment.naive","Tirosh",7584,354162
"cy53_1_CD45_neg_A10_S298_comb","Mel53","Endo.","treatment.naive","Tirosh",5830,757521
"cy79_p3_CD45_neg_PDL1_neg_A07_S199_comb","Mel79","Mal","treatment.naive","Tirosh",2772,27054
"CY89A_CD45_POS_6_F05_S161_comb","Mel89","B.cell","treatment.naive","Tirosh",3297,122249
"cy80_CD_90_pos_C11_S899_comb","Mel80","CAF","treatment.naive","Tirosh",5562,179717
"CY88_3_H12_S672_comb","Mel88","Mal","post.treatment","Tirosh",11399,348950
"cy88_cd_45_pos_D09_S429_comb","Mel88","Macrophage","post.treatment","Tirosh",3518,42524
"cy79_p3_CD45_pos_PD1_neg_C06_S126_comb","Mel79","B.cell","treatment.naive","Tirosh",2051,14803
"cy80_CD_90_pos_C04_S892_comb","Mel80","CAF","treatment.naive","Tirosh",4480,161796
"Cy72_CD45_E06_S726_comb","Mel72","?","post.treatment","Tirosh",3147,160148
"cy94_cd45neg_cd90pos_A10_S298_comb","Mel94","Endo.","post.treatment","Tirosh",4792,182438
"Cy72_CD45_E11_S731_comb","Mel72","?","post.treatment","Tirosh",2990,65884
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F04_S1024_comb","Mel60","B.cell","post.treatment","Tirosh",2855,76716
"CY89A_Core_15_F05_S65_comb","Mel89","B.cell","treatment.naive","Tirosh",2041,19756
"cy74_CD45_pos_F02_S734_comb","Mel74","B.cell","post.treatment","Tirosh",2486,39967
"CY94CD45POS_1_F08_S164_comb","Mel94","B.cell","post.treatment","Tirosh",3496,108532
"Cy74_CD45_B08_S404_comb","Mel74","B.cell","post.treatment","Tirosh",2364,138818
"cy60_1_cd_45_pos_3_B12_S312_comb","Mel60","B.cell","post.treatment","Tirosh",2915,53996
"cy94_cd45neg_cd90pos_F04_S352_comb","Mel94","Endo.","post.treatment","Tirosh",5790,816514
"cy94_cd45pos_C11_S131_comb","Mel94","B.cell","post.treatment","Tirosh",5839,1179458
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E04_S1012_comb","Mel60","B.cell","post.treatment","Tirosh",2829,70201
"cy80_Cd45_pos_Pd1_neg_S248_C08_S248_comb","Mel80","B.cell","treatment.naive","Tirosh",4726,172071
"cy84_Primary_CD45_pos_E06_S438_comb","Mel84","B.cell","treatment.naive","Tirosh",3797,218412
"CY88CD45POS_7_D01_S229_comb","Mel88","T.cell","post.treatment","Tirosh",5096,543395
"cy80_CD_90_pos_B04_S880_comb","Mel80","CAF","treatment.naive","Tirosh",8167,137997
"cy80_CD45_neg_E12_S924_comb","Mel80","Endo.","treatment.naive","Tirosh",5743,83566
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B10_S982_comb","Mel60","B.cell","post.treatment","Tirosh",2132,47631
"cy80_Cd45_pos_PD1_pos_A02_S14_comb","Mel80","B.cell","treatment.naive","Tirosh",3726,55749
"CY89A_CD45_POS_10_A11_S203_comb","Mel89","B.cell","treatment.naive","Tirosh",2832,100831
"cy60_1_cd_45_pos_4_G02_S74_comb","Mel60","B.cell","post.treatment","Tirosh",3097,70952
"CY88_3_D06_S618_comb","Mel88","Mal","post.treatment","Tirosh",8110,515723
"cy94_cd45neg_cd90pos_B12_S312_comb","Mel94","B.cell","post.treatment","Tirosh",2639,70171
"cy84_Primary_CD45_pos_G04_S460_comb","Mel84","B.cell","treatment.naive","Tirosh",4576,69201
"Cy72_CD45_G09_S753_comb","Mel72","?","post.treatment","Tirosh",3495,153408
"cy60_1_cd_45_pos_4_D12_S48_comb","Mel60","B.cell","post.treatment","Tirosh",2492,35584
"cy80_CD45_neg_F12_S456_comb","Mel80","?","treatment.naive","Tirosh",10712,253746
"CY94CD45POS_1_B05_S113_comb","Mel94","Macrophage","post.treatment","Tirosh",7231,555045
"cy80_CD45_neg_D02_S422_comb","Mel80","?","treatment.naive","Tirosh",2717,80307
"CY94CD45POS_1_C04_S124_comb","Mel94","T.CD4","post.treatment","Tirosh",5704,336034
"CY88CD45POS_7_F05_S257_comb","Mel88","B.cell","post.treatment","Tirosh",5120,300874
"cy84_Primary_CD45_neg_G03_S1035_comb","Mel84","CAF","treatment.naive","Tirosh",7060,859859
"cy94_cd45neg_cd90pos_E12_S348_comb","Mel94","CAF","post.treatment","Tirosh",4976,124188
"cy82_CD45_pos_1_B12_S504_comb","Mel82","B.cell","treatment.naive","Tirosh",3655,280993
"cy94_cd45pos_C08_S128_comb","Mel94","B.cell","post.treatment","Tirosh",3418,152391
"cy79_p5_CD45_neg_PDL1_neg_B04_S784_comb","Mel79","Mal","treatment.naive","Tirosh",4100,95079
"cy80_Cd45_pos_Pd1_neg_S222_B06_S222_comb","Mel80","B.cell","treatment.naive","Tirosh",3911,64575
"CY88CD45POS_7_D03_S231_comb","Mel88","T.cell","post.treatment","Tirosh",4854,404587
"cy88_cd_45_pos_E05_S437_comb","Mel88","B.cell","post.treatment","Tirosh",2476,33599
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_D06_S1002_comb","Mel60","B.cell","post.treatment","Tirosh",2239,36261
"cy88_cd_45_pos_G05_S461_comb","Mel88","Macrophage","post.treatment","Tirosh",2825,26119
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_F09_S549_comb","Mel79","B.cell","treatment.naive","Tirosh",2327,17870
"cy53_1_CD45_pos_2_B12_S984_comb","Mel53","Macrophage","treatment.naive","Tirosh",7241,256086
"CY94CD45POS_1_F05_S161_comb","Mel94","B.cell","post.treatment","Tirosh",4121,221542
"cy58_1_CD45_pos_H05_S665_comb","Mel58","T.CD8","post.treatment","Tirosh",2920,28903
"cy94_cd45pos_4_D06_S42_comb","Mel94","B.cell","post.treatment","Tirosh",5006,915560
"Cy74_CD45_H08_S476_comb","Mel74","Macrophage","post.treatment","Tirosh",2994,119659
"CY94CD45POS_1_B02_S110_comb","Mel94","B.cell","post.treatment","Tirosh",5696,172256
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A05_S965_comb","Mel60","B.cell","post.treatment","Tirosh",2636,56557
"cy94_cd45pos_4_G08_S80_comb","Mel94","B.cell","post.treatment","Tirosh",3732,167880
"cy84_Primary_CD45_pos_E01_S433_comb","Mel84","Macrophage","treatment.naive","Tirosh",4347,259176
"cy80_Cd45_pos_Pd1_neg_S204_A12_S204_comb","Mel80","B.cell","treatment.naive","Tirosh",3629,86565
"cy58_1_CD45_pos_B10_S598_comb","Mel58","Macrophage","post.treatment","Tirosh",4614,79335
"CY89A_Core_15_E05_S53_comb","Mel89","?","treatment.naive","Tirosh",2607,66788
"cy94_cd45pos_D04_S136_comb","Mel94","B.cell","post.treatment","Tirosh",9456,543178
"CY94CD45POS_1_B06_S114_comb","Mel94","B.cell","post.treatment","Tirosh",5287,218841
"Cy74_CD45_C03_S411_comb","Mel74","B.cell","post.treatment","Tirosh",2662,97564
"Cy71_CD45_A04_S484_comb","Mel71","Mal","treatment.naive","Tirosh",4514,151475
"cy80_Cd45_pos_Pd1_neg_S197_A05_S197_comb","Mel80","B.cell","treatment.naive","Tirosh",4031,121948
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E07_S535_comb","Mel79","B.cell","treatment.naive","Tirosh",2470,18521
"cy74_CD45_pos_G12_S756_comb","Mel74","B.cell","post.treatment","Tirosh",2909,63229
"CY88CD45_150813_F03_S351_comb","Mel88","Mal","post.treatment","Tirosh",2809,96477
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C12_S996_comb","Mel60","B.cell","post.treatment","Tirosh",2308,48221
"CY89A_CD45_POS_6_G06_S174_comb","Mel89","T.cell","treatment.naive","Tirosh",4072,147130
"cy80_CD45_neg_C08_S416_comb","Mel80","?","treatment.naive","Tirosh",4735,176877
"cy94_cd45neg_cd90pos_H11_S383_comb","Mel94","Endo.","post.treatment","Tirosh",5628,308214
"CY89A_Core_15_C12_S36_comb","Mel89","B.cell","treatment.naive","Tirosh",3742,92750
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H04_S568_comb","Mel79","B.cell","treatment.naive","Tirosh",3314,48778
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B11_S311_comb","Mel79","?","treatment.naive","Tirosh",2995,58625
"cy60_1_cd_45_pos_4_E06_S54_comb","Mel60","B.cell","post.treatment","Tirosh",3111,105425
"cy60_1_cd_45_pos_4_A10_S10_comb","Mel60","B.cell","post.treatment","Tirosh",3084,65129
"CY94CD45POS_1_H05_S185_comb","Mel94","B.cell","post.treatment","Tirosh",3866,163729
"cy79_p5_CD45_pos_PD1_pos_D09_S621_comb","Mel79","B.cell","treatment.naive","Tirosh",3720,147148
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B03_S495_comb","Mel79","B.cell","treatment.naive","Tirosh",2872,28734
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E04_S532_comb","Mel79","B.cell","treatment.naive","Tirosh",2530,16615
"CY94CD45POS_1_E02_S146_comb","Mel94","B.cell","post.treatment","Tirosh",6238,593341
"cy80_Cd45_pos_Pd1_neg_S203_A11_S203_comb","Mel80","B.cell","treatment.naive","Tirosh",3976,116061
"cy94_cd45pos_4_D07_S43_comb","Mel94","B.cell","post.treatment","Tirosh",4267,403441
"cy94_cd45pos_C04_S124_comb","Mel94","B.cell","post.treatment","Tirosh",6348,1157300
"Cy81_Bulk_CD45_D05_S137_comb","Mel81","?","treatment.naive","Tirosh",3176,259276
"cy53_1_CD45_neg_C04_S316_comb","Mel53","Endo.","treatment.naive","Tirosh",5257,88485
"CY94CD45POS_1_C01_S121_comb","Mel94","B.cell","post.treatment","Tirosh",6484,374646
"cy79_p3_CD45_pos_PD1_neg_C11_S131_comb","Mel79","B.cell","treatment.naive","Tirosh",2474,174288
"cy74_CD45_pos_D12_S720_comb","Mel74","T.CD8","post.treatment","Tirosh",2025,22025
"cy80_Cd45_pos_Pd1_neg_S276_D12_S276_comb","Mel80","B.cell","treatment.naive","Tirosh",2633,44394
"cy80_CD45_pos_PD1_pos_E09_S153_comb","Mel80","B.cell","treatment.naive","Tirosh",5146,201548
"Cy72_CD45_A05_S677_comb","Mel72","B.cell","post.treatment","Tirosh",3181,176877
"cy80_CD45_neg_D07_S427_comb","Mel80","?","treatment.naive","Tirosh",5024,302857
"CY88_5_F12_S744_comb","Mel88","Mal","post.treatment","Tirosh",6458,315267
"cy60_1_cd_45_pos_3_G02_S362_comb","Mel60","B.cell","post.treatment","Tirosh",3247,102803
"CY89A_CD45_POS_6_F06_S162_comb","Mel89","Macrophage","treatment.naive","Tirosh",5188,291730
"cy94_cd45pos_4_E10_S58_comb","Mel94","B.cell","post.treatment","Tirosh",4542,404723
"cy80_CD45_neg_B05_S401_comb","Mel80","?","treatment.naive","Tirosh",3677,47018
"CY89A_CD45_POS_10_B11_S215_comb","Mel89","B.cell","treatment.naive","Tirosh",3218,95847
"cy79_p4_CD45_neg_PDL1_neg_G01_S1129_comb","Mel79","Mal","treatment.naive","Tirosh",3197,133440
"CY88CD45POS_2_F06_S450_comb","Mel88","Macrophage","post.treatment","Tirosh",3533,917642
"cy94_cd45pos_H04_S184_comb","Mel94","B.cell","post.treatment","Tirosh",4145,310574
"CY89A_Core_15_H02_S86_comb","Mel89","B.cell","treatment.naive","Tirosh",3405,142997
"cy80_Cd45_pos_Pd1_neg_S275_D11_S275_comb","Mel80","B.cell","treatment.naive","Tirosh",3656,76784
"cy94_cd45neg_cd90pos_G05_S365_comb","Mel94","?","post.treatment","Tirosh",3625,194174
"Cy71_CD45_D04_S520_comb","Mel71","Mal","treatment.naive","Tirosh",3384,80453
"cy94_cd45neg_cd90pos_B04_S304_comb","Mel94","Endo.","post.treatment","Tirosh",6052,239100
"cy60_1_cd_45_pos_4_E07_S55_comb","Mel60","B.cell","post.treatment","Tirosh",2920,75587
"cy53_1_CD45_pos_1_F04_S64_comb","Mel53","NK","treatment.naive","Tirosh",4466,190108
"CY89A_Core_15_A07_S7_comb","Mel89","?","treatment.naive","Tirosh",2406,30851
"cy80_CD45_neg_F12_S936_comb","Mel80","Endo.","treatment.naive","Tirosh",2972,8719
"cy80_CD45_neg_F10_S934_comb","Mel80","Endo.","treatment.naive","Tirosh",3781,18624
"CY89FNA_D05_S233_comb","Mel89","?","treatment.naive","Tirosh",4054,113651
"CY94CD45POS_1_A06_S102_comb","Mel94","B.cell","post.treatment","Tirosh",2595,48421
"cy80_Cd45_pos_Pd1_neg_S241_C01_S241_comb","Mel80","B.cell","treatment.naive","Tirosh",4182,102135
"cy82_CD45_pos_2_G12_S564_comb","Mel82","?","treatment.naive","Tirosh",3326,76896
"CY84_PRIM_POS_ALL_8_E07_S151_comb","Mel84","?","treatment.naive","Tirosh",5591,683114
"CY89A_Core_15_B03_S15_comb","Mel89","?","treatment.naive","Tirosh",4311,147636
"cy80_CD45_neg_A10_S394_comb","Mel80","?","treatment.naive","Tirosh",7052,208943
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G06_S558_comb","Mel79","B.cell","treatment.naive","Tirosh",2913,28302
"cy80_CD_90_pos_F09_S933_comb","Mel80","CAF","treatment.naive","Tirosh",3061,8235
"CY94CD45POS_1_D07_S139_comb","Mel94","B.cell","post.treatment","Tirosh",3863,132582
"cy94_cd45pos_B06_S114_comb","Mel94","B.cell","post.treatment","Tirosh",5966,476506
"CY84_PRIM_POS_ALL_7_B06_S210_comb","Mel84","NK","treatment.naive","Tirosh",2517,67795
"cy80_CD_90_pos_F03_S927_comb","Mel80","CAF","treatment.naive","Tirosh",3248,43031
"CY58_1_CD45_B06_S978_comb","Mel58","?","post.treatment","Tirosh",4381,192321
"cy88_cd_45_pos_E06_S438_comb","Mel88","Macrophage","post.treatment","Tirosh",4382,160910
"cy84_Primary_CD45_pos_G02_S458_comb","Mel84","B.cell","treatment.naive","Tirosh",3884,159894
"cy79_p4_CD45_pos_PD1_pos_B10_S310_comb","Mel79","B.cell","treatment.naive","Tirosh",2852,112109
"CY84_PRIM_POS_ALL_8_B11_S119_comb","Mel84","Macrophage","treatment.naive","Tirosh",4794,260653
"cy94_cd45pos_4_B06_S18_comb","Mel94","Macrophage","post.treatment","Tirosh",4330,106435
"cy94_cd45pos_4_D08_S44_comb","Mel94","B.cell","post.treatment","Tirosh",7944,2791382
"cy60_1_cd_45_pos_3_F03_S351_comb","Mel60","B.cell","post.treatment","Tirosh",3946,141165
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_D02_S998_comb","Mel60","B.cell","post.treatment","Tirosh",2793,60067
"CY89FNA_A03_S195_comb","Mel89","T.CD8","treatment.naive","Tirosh",2938,96579
"cy74_CD45_pos_E07_S727_comb","Mel74","B.cell","post.treatment","Tirosh",2366,29687
"CY88CD45_150813_F06_S354_comb","Mel88","Macrophage","post.treatment","Tirosh",6277,1109398
"cy88_cd_45_pos_B11_S407_comb","Mel88","B.cell","post.treatment","Tirosh",2103,53150
"Cy74_CD45_D08_S428_comb","Mel74","B.cell","post.treatment","Tirosh",2872,104578
"cy53_1_CD45_neg_H05_S377_comb","Mel53","Endo.","treatment.naive","Tirosh",5059,142556
"Cy72_CD45_A01_S673_comb","Mel72","?","post.treatment","Tirosh",8625,67400
"CY89A_Core_15_G12_S84_comb","Mel89","?","treatment.naive","Tirosh",3188,122652
"cy53_1_CD45_pos_2_D05_S1001_comb","Mel53","Macrophage","treatment.naive","Tirosh",6256,533319
"CY89A_CD45_POS_6_E01_S145_comb","Mel89","B.cell","treatment.naive","Tirosh",4639,75199
"cy80_Cd45_pos_Pd1_neg_S339_G03_S339_comb","Mel80","B.cell","treatment.naive","Tirosh",2442,20632
"cy72_CD45_pos_B06_S882_comb","Mel72","B.cell","post.treatment","Tirosh",3763,84313
